Time,device,humidity,temperature,Target
"April 29, 2023 at 05:06PM",Sensor_data,54,30,cool_and_dry
"April 29, 2023 at 05:21PM",Sensor_data,55,30,cool_and_dry
"April 29, 2023 at 05:36PM",Sensor_data,54,30,cool_and_dry
"April 29, 2023 at 05:51PM",Sensor_data,57,30,cool_and_dry
"April 29, 2023 at 06:06PM",Sensor_data,58,30,cool_and_dry
"April 29, 2023 at 06:21PM",Sensor_data,58,30,cool_and_dry
"April 29, 2023 at 06:36PM",Sensor_data,58,30,cool_and_dry
"April 29, 2023 at 06:51PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 07:06PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 07:21PM",Sensor_data,63,29,cool_and_humid
"April 29, 2023 at 07:36PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 07:51PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 08:06PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 08:21PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 08:36PM",Sensor_data,60,29,cool_and_dry
"April 29, 2023 at 08:51PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 09:06PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 09:21PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 09:36PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 09:51PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 10:06PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 10:21PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 10:36PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 10:51PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 11:06PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 11:21PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 11:36PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 11:51PM",Sensor_data,63,29,cool_and_humid
"April 30, 2023 at 12:06AM",Sensor_data,62,28,cool_and_humid
"April 30, 2023 at 12:21AM",Sensor_data,63,28,cool_and_humid
"April 30, 2023 at 12:36AM",Sensor_data,63,28,cool_and_humid
"April 30, 2023 at 12:51AM",Sensor_data,64,28,cool_and_humid
